ChemicalID,GeneSymbol
C094210,HNRNPD
C094210,MMP9
D015647,CREB1
D015647,DRD1
C539142,PDE2A
C486182,ESR1
C486182,ESR2
C486182,PRL
C486182,SLC1A2
C017199,P2RX7
C009135,APP
C092716,HRH1
C545121,PDE10A
C061282,ADORA2A
C061282,PRKCZ
C061282,SMAD3
C061282,VEGFA
C440850,CYP1B1
C440850,NR1I2
C477900,DRD4
C014024,CYBB
C014024,EGF
C014024,EGFR
C014024,ESR1
C014024,GABRA1
C014024,GABRB2
C014024,GABRG2
C014024,MAPK1
C014024,MAPK3
C014024,NCF1
C014024,NR1I2
C014024,OCLN
C014024,TJP1
C014024,TTR
C054589,CYP2B2
C054589,FOXO1
C054589,G6PC1
C054589,HNF4A
C054589,NR1I3
C054589,PCK1
C104564,SERPINA6
C548544,PPARA
C548544,PPARG
C548544,PTGES2
D015084,ALB
D015084,AR
D015084,NR1I2
D015084,THRB
C568959,NR3C1
C071738,SIGMAR1
C085911,ABCB1B
C085911,ABL1
C085911,AKT1
C085911,BCR
C085911,BMP2
C085911,CHRNA7
C085911,CHRNB2
C085911,ERBB2
C085911,ERBB3
C085911,FGF2
C085911,FGFR4
C085911,FOS
C085911,GPER1
C085911,HDC
C085911,HMOX1
C085911,IGF1
C085911,ITGA5
C085911,ITGAV
C085911,ITGB3
C085911,JUN
C085911,MAPK1
C085911,NFE2L2
C085911,NFKB1
C085911,NFKBIA
C085911,NRF1
C085911,PDGFB
C085911,PDK1
C085911,PPARGC1A
C085911,REL
C085911,RELA
C085911,RPS6
C085911,SLC1A2
C079315,ALOX5AP
C010925,APP
C003943,HTR2C
C011269,VIM
C007997,ABCA1
C007997,ESR1
C007997,ESR2
C007997,INSIG1
C007997,NR1H3
C007997,PPARA
C007997,PPARG
C007997,RORA
C007997,RORC
C007997,SCAP
C023505,OAS1
C023505,OAS2
C023505,PDE12
C023505,RNASEL
C023505,SOD2
C023505,TLR3
C570401,HTR1A
C438607,GABBR1
C438607,GABBR2
C012729,GRIA4
C012729,GRM4
C012729,GRM8
C093124,NOS2
C484327,ALB
C457499,AGER
C457499,CCR2
C457499,CYCS
C457499,FSHB
C457499,IFNG
C457499,IL12A
C457499,IL12B
C457499,NCOA6
C457499,PPARG
C457499,PRODH
C457499,TNF
C090034,ADORA3
C058394,ADORA1
C058706,ATIC
C058706,DHFR
C058706,TYMS
C492322,CSNK2A1
C492322,SLC39A7
C051750,GSTP1
C120275,CCNT1
C120275,CDK9
C001390,AR
C001390,ESR1
C001390,ESR2
D000073738,INS1
C072790,HTR4
C058525,ADRA2A
C058525,ADRA2B
C058525,ADRA2C
C511621,AHR
C511621,CYP1A1
C511621,IL17A
C511621,IL22
C471210,CRHR1
C487401,PPARA
C521167,GC
C521167,VDR
C495818,EIF4E
C495818,EIF4EBP1
C055734,IL12A
C055734,IL12B
C055734,RARRES2
C022960,CCND1
C022960,CDK4
C022960,CUL3
C022960,KEAP1
C402107,FOLH1
D019840,CHRNA2
D019840,CHRNB4
D019840,CYP2E1
C051290,AHR
C051290,ARNT
C051290,CYP1A1
C051290,POLR2A
C018855,AR
C018855,AR.L
C018855,BACH1
C018855,BCL2
C018855,CREBBP
C018855,CUL3
C018855,CYP2C9
C018855,ESR1
C018855,ESR1.L
C018855,ESR2
C018855,ESR2A
C018855,ESR2B
C018855,ESR2.L
C018855,FOS
C018855,HMOX1
C018855,IL12A
C018855,IL12B
C018855,IL23A
C018855,JUND
C018855,KEAP1
C018855,MAF
C018855,NFE2L2
C018855,NQO1
C018855,NR1I2
C018855,NR1I3
C018855,PPARG
C018855,THRAA
C018855,THRB
C500323,CNR2
C500321,CNR2
C515661,GUCY1A1
C515661,GUCY1B1
C556168,NR0B2
C470768,GUCY1A1
C470768,GUCY1B1
C050592,GRIN1
C050592,GRIN2A
C050592,GRIN2B
C050592,GRIN2C
C050592,GRIN2D
C097869,ADRB1
C097869,ADRB2
C097869,ADRB3
C054649,ALDOC
C054649,ARRB2
C054649,BTG2
C054649,CCL2
C054649,CCL4
C054649,CNR1
C054649,CNR2
C054649,CXCL8
C054649,DRD2
C054649,FOS
C054649,GNA13
C054649,GPR18
C054649,GPR55
C054649,HTR2A
C054649,IFNG
C054649,JUNB
C054649,MAPK1
C054649,MAPK3
C054649,NFKBIA
C054649,PPP1R1B
C054649,TNF
C054649,TRPA1
C054649,TRPV2
C080755,TACR1
C541428,GRM5
C472365,GRM5
C041525,AHR
C041525,ARNT
C041525,CYP1A1
C041525,CYP1B1
C041525,ESR1
C041525,GREB1
C041525,INSR
C041525,JAK1
C041525,NCOA3
C041525,NFKB1
C041525,PTGS2
C041525,RELA
C041525,STAT3
C041525,TNF
C103788,TACR1
C016392,AHR
C016392,ARNT
C016392,CDK2
C016392,CDKN1A
C016392,CYP1A1
C016392,ESR1
C016392,ESR2
C016392,KRT19
C016392,NCOA2
C016392,PTGS2
C016392,TFF1
C016392,TMEM121B
C103477,HTR1B
C028451,AHR
C028451,ARNT
C028451,CAV1
C028451,CYP1A1
C028451,ESR1
C028451,KDM4B
C028451,RAF1
C028451,RELA
C028451,TFF1
C028451,TTR
C477898,LPAR1
C477898,LPAR3
C062458,DRD2
C062458,DRD3
C104750,DRD2
C104750,DRD3
C099630,DDC
C099630,DRD4
C423582,GUCY1A1
C423582,GUCY1B1
C528740,EIF4E
C528740,EIF4EBP1
C548780,ESR1
C110733,GRM8
D019900,OPRK1
D019900,STAT3
C000995,IDE
C509288,AHR
C509288,CYP1A1
C509288,CYP1B1
C549541,KDR
C549541,NOS1
C434003,BRD4
C434003,CCL2
C434003,CREBBP
C434003,EP300
C434003,HSPA9
C434003,IL1B
C434003,MIR21
C434003,NFKB1
C434003,NFKBIA
C434003,RELA
C434003,TERT
C434003,TNF
C434003,TP53
C434003,VCAM1
C500530,TRPV1
C561058,AGTR1
C561058,PPARG
C523668,P2RX7
C556460,XDH
C473468,MAP2K1
C000590771,BCL2
C000590771,BRD4
C000590771,CCND1
C000590771,CDK9
C000590771,POLR2A
C478626,ITGA5
C478626,ITGB3
C509502,RPE65
C057837,ADORA1
C057837,ADORA2A
C026423,ESR1
C026423,ESR2
C025160,E2F1
C025160,INS
C025160,MAFA
C025160,PARP2
C025160,RB1
C078157,TXN2
C006261,CP
C048460,EZH2
C048460,MIR26A1
C048460,MIR26A2
C048460,MYC
C108904,OPRD1
C547455,LDHA
C502015,GRM1
C480819,DRD2
C480819,HTR1A
C051918,GOBP2
D020155,HCAR2
D020155,PPARA
C041477,CYP1B1
C041477,NCOA1
C041477,NCOA2
C041477,NCOA3
C041477,NR1I2
C586842,OPRM1
C088383,CHRNA4
C088383,CHRNB2
C025946,BECN1
C025946,CKB
C025946,CKM
C025946,PIK3C3
C025946,PML
C025946,RARA
C047368,ESR1
C047368,ESR2
C047368,NR1I2
C047368,PPARG
C441128,PTPN1
C487262,ACHE
C529493,NPSR1
C070417,CNR1
C070417,CNR2
C070417,FOS
C070417,PPARA
C070417,TRPA1
C070417,TRPV1
C031285,CHRNA10
C031285,CHRNA9
C031285,CYP2A6
C000598200,NR1H4
C087205,HTR1A
C479832,GPR18
C479832,GPR55
C088860,APP
C088860,EGFR
C088860,MAPK1
C088860,MAPK3
C088860,NFKB1
C088860,RELA
C575631,ESRRA
C584509,AGT
C584509,BRD4
C584509,CDK6
C584509,EP300
C584509,MYC
C584509,PECAM1
C584509,TP53
C516309,RARG
C000592353,CYP2B2
C000592353,FOXO1
C000592353,G6PC1
C000592353,HNF4A
C000592353,NR1I3
C000592353,PCK1
C416545,DRD2
C416545,DRD3
C528564,HRH1
D017878,SLC4A1
D017878,SLC4A2
D017878,VDAC1
D017878,VDAC2
C090942,CDC20
C090942,CDC27
C090942,ICAM1
C090942,MAD2L1
C090942,MMP9
C090942,PLAT
C090942,RELA
C090942,SP1
C119130,PPARG
C568862,GPER1
C568862,SLC1A2
C088464,OPRD1
C108123,NCF1
C108123,PRKCD
C108123,SRC
C108123,TNF
C079549,HTR1A
C568958,PTGDR2
C568957,PTGDR
C568957,PTGDR2
C028513,TSPO
C007210,CYP2B6
C042375,CHRM1
C042375,CHRM2
C042375,CHRM3
C042375,CHRM5
C104672,INSR
C104672,IRS1
C104672,SOCS3
C104672,TNF
C064297,AR
C064297,ESR1
C015952,HTR2A
C015952,HTR2C
C406734,FASN
C570020,GSR
C041594,AFP
C041594,AHR
C041594,CHRNA3
C041594,CHRNA4
C041594,CHRNB2
C041594,CHRNB4
C041594,CYP2B6
C041594,ESR1
C041594,ESR2
C041594,NR1I2
C041594,NR1I3
C041594,P4HB
C041594,SHBG
C041594,THR
C041594,TTR
C542058,CNR2
C075773,ABCC1
C075773,SNCA
C553344,GRM4
C116017,PPARA
C116017,PPARG
C568960,NR3C1
C480541,MET
C109763,CHRNA4
C109763,CHRNB2
C570539,MED1
C570539,PPARG
C570539,PPARGC1A
C568516,CHRM1
C568516,CHRM2
C568516,CHRM3
C568516,CHRM4
C568516,CHRM5
C519816,HRH3
C524699,ADORA1
C524699,ADORA2A
C017245,ALB
C106876,PTGS2
C030371,SLC25A32
C086335,DRD2
C086335,DRD3
D015117,PPARA
D043582,NR1I2
C098657,ADORA2A
C098657,SMAD3
C479635,PPARG
C085754,EDNRA
C085754,NOS2
C085754,SOD2
C426745,CHRNB2
C426745,GSK3B
C426745,MAPK1
C426745,MAPK3
C426745,MAPT
C051171,DRD2
C051171,DRD3
C025145,HTR1A
C025145,HTR1B
C005984,GNMT
C005984,MTR
C057446,ADRA1A
C057446,ADRA1B
C057446,ADRA1D
C057446,HTR1A
C058176,CFTR
C058176,GPR35
C499823,CMKLR1
C570543,NR3C2
C546607,AHR
C546607,ARNT
C546607,CYP1A1
C546607,HDAC1
C546607,IL6
C546607,RELA
C546607,SMARCA4
C561238,HRH3
C485383,CYP1B1
C485383,NTRK2
C505455,GRM1
C014896,HTR2C
C550547,DNM1L
C550547,JUN
C550547,PPARGC1A
C550547,REST
C107820,HTR2C
C111855,AHR
C111855,AHR1B
C111855,AHR2
C111855,CYP1B1
C111855,IL17A
C111855,IL22
C111855,NR1H4
C111855,NR1I2
C111855,SUV39H1
C111855,TARDBP
C111855,TNF
C053876,AKT1
C053876,ARRB1
C053876,AXIN1
C053876,BAD
C053876,BAX
C053876,BCL2
C053876,BCL2L1
C053876,CTNNB1
C053876,EGFR
C053876,GSK3B
C053876,IL1R1
C053876,MAPK1
C053876,MAPK3
