GeneSymbol,DiseaseID,InferenceScore
ABCC5,MESH:D008106,1
ABCC6,MESH:C537440,1
ABCC6,MESH:D015179,1
ABCC6,MESH:D004195,1
ABCC6,MESH:D018450,1
ABCC6,MESH:D011561,1
ABCC6A,MESH:C537440,1
ABCC6A,MESH:D004195,1
ABCC6A,MESH:D011561,1
ABCC8,MESH:D015179,1
ABCC8,MESH:D044903,1
ABCC8,MESH:D003922,1
ABCC8,MESH:D003924,1
ABCC8,MESH:C537150,1
ABCC9,MESH:D016889,1
ABCC9,MESH:D004715,1
ABCD2,MESH:D015179,1
ABCD3,MESH:D015179,1
ABCD4,MESH:D015179,1
ABCD4,MESH:D018450,1
ABCD4,MESH:D008661,1
ABCD4,MESH:D014806,1
ABCE1,MESH:D015179,1
ABCF1,MESH:D018450,1
ABCF1,MESH:D006967,1
ABCF1,MESH:D011014,1
ABCF2,MESH:D018450,1
ABCG1,MESH:D015179,1
ABCG1,MESH:D007676,1
ABCG1,MESH:D008106,1
ABCG1,MESH:D015430,1
ABCG2,MESH:D000236,1
ABCG2,MESH:D001172,1
ABCG2,MESH:D001943,1
ABCG2,MESH:D009202,1
ABCG2,MESH:D015179,1
ABCG2,MESH:D003967,1
ABCG2,MESH:D064420,1
ABCG2,MESH:D006073,1
ABCG2,MESH:D033461,1
ABCG2,MESH:D008105,1
ABCG2,MESH:D016403,1
ABCG2,MESH:D008325,1
ABCG2,MESH:D009422,1
ABCG2,MESH:D054218,1
ABCG2,MESH:D000077195,1
ABCG5,MESH:D050197,1
ABCG5,MESH:D003324,1
ABCG5,MESH:D003327,1
ABCG5,MESH:D050171,1
ABCG5,MESH:D008106,1
ABCG5,MESH:D011471,1
ABCG5,MESH:C537345,1
ABCG5,MESH:D014973,1
ABCG8,MESH:D003324,1
ABCG8,MESH:D042882,1
ABCG8,MESH:D008106,1
ABCG8,MESH:C537345,1
ABI1,MESH:D056486,1
ABI3,MESH:D000544,1
ABI3BP,MESH:D004715,1
ABL1,MESH:D000230,1
ABL1,MESH:D001848,1
ABL1,MESH:D001943,1
ABL1,MESH:D063646,1
ABL1,MESH:D004938,1
ABL1,MESH:D006330,1
ABL1,MESH:D015464,1
ABL1,MESH:D008113,1
ABL1,MESH:D009139,1
ABL1,MESH:D009374,1
ABL1,MESH:D011230,1
ABL1,MESH:D054198,1
ABLIM1,MESH:D019966,1
ABLIM3,MESH:D008106,1
ABO,MESH:D000077216,1
ABO,MESH:D003324,1
ABO,MESH:D000086382,1
ABO,MESH:D016638,1
ABO,MESH:D004381,1
ABO,MESH:D010190,1
ABO,MESH:D011471,1
ABO,MESH:D012131,1
ABO,MESH:D020521,1
ABR,MESH:D011471,1
ABRA,MESH:D002311,1
ABT1,MESH:D018450,1
ABT1,MESH:D013274,1
ACAA1B,MESH:D006333,1
ACAA2,MESH:D010003,1
ACAA2,MESH:D012128,1
ACACA,MESH:D006528,1
ACACA,MESH:D006333,1
ACACB,MESH:D007333,1
ACACB,MESH:D009765,1
ACAD8,MESH:D018450,1
ACAD8,MESH:D013274,1
ACADM,MESH:D020345,1
ACADM,MESH:D017093,1
ACADM,MESH:D009765,1
ACADM,MESH:D015430,1
ACADS,MESH:D006333,1
ACADSB,MESH:D001321,1
ACADVL,MESH:D000860,1
ACADVL,MESH:C536353,1
ACAN,MESH:D001172,1
ACAT1,MESH:D007676,1
ACAT1,MESH:D008106,1
ACAT1,MESH:D012640,1
ACBD4,MESH:D008106,1
ACBD6,MESH:D008607,1
ACE,MESH:D000230,1
ACE,MESH:D000419,1
ACE,MESH:D000544,1
ACE,MESH:D001145,1
ACE,MESH:D001281,1
ACE,MESH:D001321,1
ACE,MESH:D001607,1
ACE,MESH:D002545,1
ACE,MESH:D006528,1
ACE,MESH:D002318,1
ACE,MESH:D002446,1
ACE,MESH:D002543,1
ACE,MESH:D003324,1
ACE,MESH:D003327,1
ACE,MESH:D023903,1
ACE,MESH:D003371,1
ACE,MESH:D003645,1
ACE,MESH:D003921,1
ACE,MESH:D003928,1
ACE,MESH:D004342,1
ACE,MESH:D005776,1
ACE,MESH:D005922,1
ACE,MESH:D006012,1
ACE,MESH:D006333,1
ACE,MESH:D006973,1
ACE,MESH:D006976,1
ACE,MESH:D017379,1
ACE,MESH:D007022,1
ACE,MESH:D007235,1
ACE,MESH:D007248,1
ACE,MESH:D007674,1
ACE,MESH:D007676,1
ACE,MESH:D008171,1
ACE,MESH:D055370,1
ACE,MESH:D008175,1
ACE,MESH:D008589,1
ACE,MESH:D009203,1
ACE,MESH:D009362,1
ACE,MESH:D065626,1
ACE,MESH:D011024,1
ACE,MESH:D011225,1
ACE,MESH:D011471,1
ACE,MESH:D011605,1
ACE,MESH:D011658,1
ACE,MESH:D051437,1
ACE,MESH:D012128,1
ACE,MESH:D012140,1
ACE,MESH:D045169,1
ACE,MESH:D013203,1
ACE,MESH:D013274,1
ACE,MESH:D020521,1
