ID,count1
0,1
1,2
2,1
3,1
4,2
5,1
6,1
7,2
8,1
9,2
10,11
11,3
12,2
13,2
14,1
15,2
16,1
17,1
18,1
19,6
20,2
21,1
22,1
23,1
24,1
25,1
26,1
27,3
28,1
29,1
30,4
31,2
32,2
33,1
34,2
35,4
36,1
37,1
38,2
39,1
40,3
41,1
42,2
43,2
44,2
45,2
46,9
47,1
48,2
49,1
50,1
51,1
52,3
53,2
54,2
55,1
56,3
57,1
58,1
59,1
60,1
61,1
62,9
63,1
64,4
65,1
66,8
67,6
68,3
69,1
70,1
71,2
72,1
73,3
74,4
75,1
76,2
77,1
78,1
79,1
80,2
81,2
82,1
83,1
84,2
85,1
86,1
87,1
88,1
89,5
90,1
91,1
92,2
93,1
94,10
95,3
96,1
97,1
98,2
99,4
100,7
101,1
102,5
103,2
104,2
105,1
106,2
107,19
108,6
109,3
110,1
111,3
112,1
113,1
114,1
115,1
116,1
117,2
118,6
119,4
120,1
121,1
122,3
123,1
124,1
125,1
126,1
127,1
128,1
129,9
130,1
131,2
132,3
133,1
134,1
135,1
136,1
137,1
138,1
139,2
140,2
141,4
142,6
143,1
144,2
145,1
146,4
147,1
148,2
149,4
150,4
151,1
152,1
153,1
154,2
155,1
156,4
157,2
158,2
159,2
160,4
161,1
162,1
163,2
164,1
165,3
166,1
167,1
168,1
169,3
170,2
171,7
172,9
173,3
174,1
175,3
176,1
177,2
178,1
179,1
180,5
181,2
182,2
183,1
184,4
185,1
186,5
187,1
188,14
189,1
190,1
191,4
192,3
193,4
194,1
195,2
196,5
197,1
198,2
199,2
200,1
201,1
202,4
203,1
204,11
205,1
206,8
207,1
208,2
209,2
210,2
211,3
212,1
213,1
214,1
215,4
216,1
217,10
218,1
219,1
220,1
221,1
222,1
223,3
224,1
225,3
226,8
227,1
228,1
229,1
230,2
231,1
232,1
233,1
234,2
235,3
236,3
237,1
238,1
239,1
240,1
241,2
242,2
243,1
244,5
245,2
246,1
247,2
248,3
249,17
250,2
251,4
252,2
253,1
254,1
255,1
256,1
257,2
258,1
259,2
260,3
261,1
262,1
263,2
264,1
265,2
266,2
267,2
268,1
269,1
270,1
271,2
272,2
273,2
274,1
275,1
276,1
277,6
278,3
279,1
280,1
281,1
282,2
283,2
284,3
285,1
286,1
287,1
288,2
289,1
290,1
291,2
292,2
293,3
294,2
295,1
296,3
297,2
298,1
299,4
300,6
301,1
302,1
303,1
304,1
305,1
306,1
307,2
308,4
309,2
310,1
311,3
312,1
313,1
314,1
315,1
316,1
317,1
318,3
319,1
320,1
321,1
322,2
323,1
324,1
325,1
326,3
327,3
328,1
329,1
330,2
331,1
332,10
333,3
334,4
335,4
336,1
337,7
338,1
339,1
340,1
341,1
342,1
343,4
344,2
345,1
346,1
347,1
348,1
349,1
350,1
351,1
352,6
353,1
354,2
355,1
356,1
357,1
358,1
359,1
360,1
361,2
362,1
363,1
364,2
365,2
366,10
367,1
368,1
369,1
370,3
371,1
372,1
373,2
374,1
375,1
376,1
377,1
378,1
379,1
380,2
381,2
382,4
383,4
384,9
385,1
386,10
387,5
388,1
389,5
390,1
391,5
392,19
393,1
394,5
395,1
396,2
397,1
398,1
399,1
400,1
401,7
402,2
403,3
404,1
405,2
406,1
407,1
408,3
409,1
410,2
411,2
412,3
413,2
414,2
415,1
416,3
417,1
418,1
419,1
420,2
421,1
422,2
423,2
424,12
425,1
426,1
427,4
428,1
429,5
430,1
431,2
432,1
433,1
434,3
435,1
436,4
437,1
438,1
439,1
440,6
441,1
442,1
443,1
444,1
445,1
446,1
447,3
448,2
449,2
450,4
451,2
452,4
453,1
454,4
455,1
456,1
457,3
458,1
459,1
460,13
461,2
462,1
463,3
464,1
465,1
466,2
467,2
468,3
469,1
470,3
471,1
472,2
473,1
474,1
475,4
476,1
477,1
478,1
479,2
480,2
481,1
482,1
483,1
484,2
485,1
486,3
487,2
488,4
489,1
490,1
491,1
492,2
493,10
494,2
495,3
496,9
497,2
498,3
499,1
500,1
501,1
502,2
503,1
504,1
505,1
506,24
507,1
508,1
509,1
510,1
511,1
512,1
513,3
514,3
515,1
516,1
517,1
518,3
519,1
520,2
521,3
522,15
523,3
524,1
525,1
526,4
527,7
528,2
529,2
530,2
531,1
532,7
533,4
534,2
535,1
536,6
537,1
538,1
539,7
540,2
541,2
542,2
543,1
544,3
545,1
546,6
547,5
548,1
549,2
550,2
551,2
552,2
553,1
554,1
555,5
556,1
557,3
558,1
559,1
560,3
561,1
562,1
563,3
564,3
565,1
566,3
567,1
568,3
569,1
570,5
571,1
572,2
573,1
574,1
575,2
576,1
577,1
578,1
579,2
580,1
581,2
582,4
583,3
584,1
585,3
586,1
587,2
588,4
589,1
590,3
591,1
592,2
593,5
594,3
595,1
596,2
597,1
598,2
599,1
600,2
601,1
602,1
603,1
604,3
605,3
606,15
607,1
608,1
609,3
610,1
611,1
612,3
613,2
614,1
615,2
616,1
617,1
618,1
619,1
620,2
621,3
622,2
623,7
624,1
625,1
626,2
627,1
628,1
629,1
630,4
631,5
632,2
633,2
634,1
635,1
636,1
637,2
638,2
639,9
640,1
641,6
642,3
643,2
644,1
645,1
646,2
647,1
648,7
649,3
650,1
651,2
652,1
653,1
654,4
655,1
656,1
657,3
658,1
659,2
660,1
661,1
662,2
663,6
664,1
665,2
666,1
667,1
668,1
669,1
670,1
671,1
672,2
673,4
674,1
675,2
676,1
677,2
678,1
679,1
680,1
681,1
682,4
683,2
684,1
685,1
686,1
687,1
688,3
689,1
690,1
691,1
692,1
693,3
694,1
695,2
696,4
697,1
698,3
699,1
700,2
701,1
702,2
703,1
704,2
705,1
706,3
707,9
708,1
709,1
710,8
711,2
712,1
713,4
714,9
715,1
716,1
717,1
718,1
719,1
720,3
721,2
722,14
723,5
724,3
725,1
726,1
727,1
728,2
729,1
730,3
731,3
732,9
733,2
734,2
735,1
736,1
737,4
738,1
739,1
740,7
741,2
742,2
743,1
744,2
745,2
746,1
747,1
748,3
749,3
750,7
751,2
752,1
753,3
754,1
755,1
756,1
757,1
758,6
759,8
760,1
761,2
762,1
763,5
764,1
765,2
766,2
767,1
768,3
769,1
770,1
771,1
772,1
773,3
774,1
775,17
776,1
777,2
778,1
779,6
780,1
781,1
782,1
783,1
784,1
785,1
786,3
787,3
788,2
789,1
790,1
791,4
792,1
793,1
794,1
795,1
796,1
797,2
798,1
799,1
800,2
801,1
802,2
803,1
804,7
805,2
806,3
807,2
808,2
809,1
810,11
811,1
812,4
813,1
814,1
815,1
816,3
817,7
818,8
819,10
820,1
821,2
822,9
823,2
824,1
825,3
826,10
827,4
828,2
829,1
830,41
831,3
832,6
833,41
834,2
835,1
836,1
837,2
838,1
839,10
840,1
841,30
842,3
843,2
844,14
845,4
846,128
847,2
848,6
849,2
850,1
851,4
852,2
853,2
854,7
855,4
856,2
857,1
858,4
859,1
860,2
861,1
862,1
863,2
864,1
865,4
866,1
867,1
868,2
869,22
870,1
871,1
872,1
873,5
874,1
875,1
876,4
877,8
878,2
879,21
880,2
881,7
882,2
883,12
884,1
885,1
886,4
887,1
888,2
889,2
890,96
891,6
892,4
893,1
894,3
895,1
896,2
897,4
898,4
899,1
900,6
901,1
902,14
903,3
904,7
905,4
906,1
907,1
908,1
909,1
910,1
911,4
912,4
913,1
914,1
915,18
916,1
917,3
918,22
919,1
920,1
921,4
922,3
923,2
924,1
925,1
926,21
927,18
928,1
929,10
930,2
931,7
932,3
933,1
934,4
935,6
936,1
937,5
938,1
939,2
940,9
941,2
942,1
943,1
944,1
945,9
946,3
947,2
948,37
949,3
950,8
951,1
952,1
953,15
954,1
955,2
956,3
957,1
958,4
959,1
960,1
961,4
962,1
